"column_name","data_type"
"id","integer"
"user_id","integer"
"device_id","character varying"
"name","character varying"
"location","character varying"
"is_active","boolean"
"api_key","text"
"created_at","timestamp without time zone"
"temp_min","numeric"
"temp_max","numeric"
"air_hum_min","numeric"
"air_hum_max","numeric"
"pump_schedule_enabled","boolean"
"pump_start_time","time without time zone"
"pump_duration_minutes","integer"
"co2_min","numeric"
"co2_max","numeric"
"methane_min","numeric"
"methane_max","numeric"
"pump_manual_override","boolean"
